"notes","term","priref"
"","Virgin and Child","63260"
"Christ-child (with attributes)","Christ Child","63261"
"Man of Sorrows, 'Imago Pietatis', 'Erbärmdebild', 'Schmerzensmann'; the upright Christ showing his wounds, usually bearing the crown of thorns, and accompanied by the instruments of the Passion, standing or sitting in his tomb","Man of Sorrows","63262"
"Doctrinal concept concerning the spiritual departure from earthly life or the deification of a person.","apotheosis","63264"
"Vrijwillige aanpassing van leven en gedrag aan de principes van moraliteit en normen voor goed gedrag, inclusief het op morele gronden afzien van onrechtvaardigheid of ondeugd.","virtues","63266"
"Literary compositions in verse or prose, in which human folly and vice are held up to scorn, derision, or ridicule. May be reflected as ideas expressed as the subjects of art works.","satire (literary work)","63268"
"Group of four elements into which according to ancient notions any object may be analyzed.","four elements","63272"
"Gulle of spontane goedheid, gekenmerkt door liefde, vriendelijkheid of natuurlijke genegenheid.","charity (philosophical concept)","63275"
"Emotional and psychological state based on strong affection, loyalty, and benevolence for another arising out of kinship, as in maternal love; arising out of sexual attraction and emotional affinity, as in affection and tenderness felt between lovers; and arising out of respect and admiration, as in the valuation and appreciation among friends.","love (emotion)","63276"
"De toestand waarbij men zoveel heeft als nodig is, of meer.","abundance","63281"
"Artistic device that consists of attributing and granting human characteristics to an abstract quality, animal, or inanimate object.","personification","63282"
"","political allegory","63283"
"Refers to short, concise sayings repeated colloquially expressing a general truth or observation about human life or behavior, often embodying the folk wisdom of a group or nation. Distinguished from ""aphorisms"" which are statements of principle or precepts, often of known authorship.""","proverb","63284"
"Classical theory which suggests that there are four fundamental personality types: sanguine, choleric, melancholic, and phlegmatic.","four temperaments","63285"
"","triumph (allegory)","63286"
"","Father Time","63287"
"","glorification","63288"
"The five faculties by which stimuli from outside or inside the body are received and felt.","sense","63290"
"Images of animals and objects that symbolize the twelve signs of the zodiac.","zodiac","63291"
"Headgear comprising circular or U-shaped garlands made from the leaves and branches of the laurel tree. An example is as worn by Roman commanders during the triumphal procession after a martial victory.","laurel wreath","63292"
"Vast landforms that are connected or continuous mainland. Often used when referring to the continents of modern geography, but may also refer to former continents.","continent","63293"
